PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50 Qualifier,EC50,EC50 Standard Error,S0,SInf,Hill Slope,Num. Points,Max. Activity,Activity at 0.10uM,Activity at 0.19uM,Activity at 0.38uM,Activity at 0.75uM,Activity at 0.80uM,Activity at 1.50uM,Activity at 1.60uM,Activity at 3.00uM,Activity at 6.00uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"'<', '=', '>'",the concentration whereupon perceived activity reaches 50% of the maximum,the standard error for the calculated EC50 value,the fitted activity level at zero concentration,the fitted activity level at infinite concentration,the slope at EC50,the number of data points included in the plot,the maximum activity value observed,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration,The average measured activity of all accepted replicates at the specified concentration
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,0.1,0.19,0.38,0.75,0.8,1.5,1.6,3,6
1,24838069,3411151,COC1=CC=C(C=C1)C2CC(=NN2C(=O)CNC3CCCCC3)C4=CC5=CC=CC=C5C=C4,Active,56,,,=,2.764,1.096,-8.1,-100,2.61,10,-60,0.3,,-12.4,-18.4,,-19.9,,-60,
2,24780166,16187242,C1CN(C(C2=C1C3=CC=CC=C3N2)C4=CC=CC=C4F)CC5=CC=CN5C6=NC=CC=N6,Active,60,,,=,1.071,1.117,0,-100,2.14,14,-101.7,-0.2,-13.9,-6.1,-34.4,,-62,,-96.1,-101.7
3,17432187,2946068,CC(CCC1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)NC(=O)C3=CC(=CC=C3)Br,Active,57,,,=,2.022,1.085,-19.7,-100,4,11,-96.4,-23.2,-10.5,-22.5,,-22.6,,-34.9,-96.4,
4,24815422,16194616,COC1=CC=C(C=C1)N2CCN(CC2)C(CNC(=O)C(=O)NCCCN3C=CN=C3)C4=CN=CC=C4,Active,70,,,<,0.1,,0,-95.9,1.79,14,-96,-67.8,-86.5,-90.5,,-95.6,,-95.7,-95.8,-96
5,22401607,3605184,C1=CC=C2C(=C1)C=CC=C2OCC(CNCCC3=CC=C(C=C3)C(F)(F)F)O,Active,62,,,=,0.631,1.052,0,-100,1.25,13,-100.2,-9.5,-18.6,-36.1,,-56.8,,-73.3,-87.5,-100.2
6,16952763,3424493,CC1=CC=C(C=C1)C23CC4CC(C2)CC(C4)(C3)NC(=O)NCCN(C)C,Active,60,,,=,0.948,1.056,-13.9,-101.4,2.88,14,-100.5,-12.9,-15.6,-20.6,-43,,-83.2,,-98.9,-100.5
